telemetry_id,vehicle_id,timestamp,latitude,longitude,speed_kmh,battery_level_pct,battery_status,harsh_braking_event
TEL-10040,VEH-CT-100,2026-08-26 02:25:03,-33.851881,151.198568,105.0,93.6,NORMAL,NO
TEL-10041,VEH-CT-100,2026-08-26 02:30:03,-33.855129,151.207747,95.3,84.1,NORMAL,NO
TEL-10042,VEH-CT-104,2026-08-26 02:35:03,-33.855937,151.201781,11.0,19.2,CRITICAL,NO
TEL-10043,VEH-CT-103,2026-08-26 02:40:03,-33.86856,151.205246,6.5,66.8,NORMAL,NO
TEL-10044,VEH-CT-102,2026-08-26 02:45:03,-33.857991,151.207993,89.8,71.5,NORMAL,NO
TEL-10045,VEH-CT-103,2026-08-26 02:50:03,-33.854169,151.210387,89.7,74.5,NORMAL,NO
TEL-10046,VEH-CT-100,2026-08-26 02:55:03,-33.861899,151.204162,78.6,29.4,LOW,NO
TEL-10047,VEH-CT-104,2026-08-26 03:00:03,-33.87651,151.214825,44.6,47.3,NORMAL,NO
TEL-10048,VEH-CT-100,2026-08-26 03:05:03,-33.883525,151.192769,1.5,18.4,CRITICAL,NO
TEL-10049,VEH-CT-100,2026-08-26 03:10:03,-33.877452,151.198554,97.0,89.8,NORMAL,NO
TEL-10050,VEH-CT-102,2026-08-26 03:15:03,-33.863677,151.207395,32.7,92.8,NORMAL,NO
TEL-10051,VEH-CT-104,2026-08-26 03:20:03,-33.86903,151.21626,79.8,95.2,NORMAL,NO
TEL-10052,VEH-CT-101,2026-08-26 03:25:03,-33.881302,151.204497,63.9,88.3,NORMAL,NO
TEL-10053,VEH-CT-101,2026-08-26 03:30:03,-33.875056,151.202943,100.5,91.9,NORMAL,NO
TEL-10054,VEH-CT-103,2026-08-26 03:35:03,-33.874678,151.211397,103.8,15.5,CRITICAL,NO
TEL-10055,VEH-CT-104,2026-08-26 03:40:03,-33.875638,151.192053,78.0,22.4,LOW,NO
TEL-10056,VEH-CT-100,2026-08-26 03:45:03,-33.862169,151.19989,8.5,26.4,LOW,NO
TEL-10057,VEH-CT-103,2026-08-26 03:50:03,-33.865301,151.20553,36.5,18.6,CRITICAL,NO
TEL-10058,VEH-CT-101,2026-08-26 03:55:03,-33.870331,151.21519,20.1,71.5,NORMAL,NO
TEL-10059,VEH-CT-100,2026-08-26 04:00:03,-33.869212,151.216024,65.6,35.4,LOW,NO
TEL-10060,VEH-CT-104,2026-08-26 04:05:03,-33.856276,151.214188,39.0,25.0,LOW,NO
TEL-10061,VEH-CT-100,2026-08-26 04:10:03,-33.876714,151.214286,84.7,69.0,NORMAL,NO
TEL-10062,VEH-CT-101,2026-08-26 04:15:03,-33.854693,151.199355,88.3,46.7,NORMAL,NO
TEL-10063,VEH-CT-102,2026-08-26 04:20:03,-33.866796,151.198227,49.1,75.1,NORMAL,NO
TEL-10064,VEH-CT-100,2026-08-26 04:25:03,-33.873739,151.219603,45.8,88.7,NORMAL,NO
TEL-10065,VEH-CT-100,2026-08-26 04:30:03,-33.873493,151.196576,104.9,60.4,NORMAL,NO
TEL-10066,VEH-CT-103,2026-08-26 04:35:03,-33.88026,151.197074,33.5,94.5,NORMAL,NO
TEL-10067,VEH-CT-103,2026-08-26 04:40:03,-33.857925,151.205222,35.9,49.9,NORMAL,NO
TEL-10068,VEH-CT-104,2026-08-26 04:45:03,-33.85602,151.217938,96.2,95.7,NORMAL,NO
TEL-10069,VEH-CT-101,2026-08-26 04:50:03,-33.876347,151.218172,14.0,43.0,NORMAL,NO
TEL-10070,VEH-CT-103,2026-08-26 04:55:03,-33.856295,151.194748,59.7,31.1,LOW,NO
TEL-10071,VEH-CT-102,2026-08-26 05:00:03,-33.879325,151.217227,79.5,26.7,LOW,NO
TEL-10072,VEH-CT-103,2026-08-26 05:05:03,-33.873683,151.209731,38.4,98.6,NORMAL,NO
TEL-10073,VEH-CT-101,2026-08-26 05:10:03,-33.881788,151.215326,66.1,26.0,LOW,NO
TEL-10074,VEH-CT-104,2026-08-26 05:15:03,-33.867307,151.196306,2.1,23.3,LOW,NO
TEL-10075,VEH-CT-101,2026-08-26 05:20:03,-33.852395,151.217226,108.1,55.6,NORMAL,NO
TEL-10076,VEH-CT-101,2026-08-26 05:25:03,-33.858805,151.202517,64.8,18.8,CRITICAL,NO
TEL-10077,VEH-CT-101,2026-08-26 05:30:03,-33.876294,151.202999,12.1,95.4,NORMAL,NO
TEL-10078,VEH-CT-102,2026-08-26 05:35:03,-33.878167,151.215101,45.3,56.6,NORMAL,NO
TEL-10079,VEH-CT-103,2026-08-26 05:40:03,-33.865046,151.214426,99.8,62.1,NORMAL,NO
TEL-10080,VEH-CT-103,2026-08-26 05:45:03,-33.862014,151.201618,72.1,38.9,LOW,NO
TEL-10081,VEH-CT-104,2026-08-26 05:50:03,-33.853348,151.213742,17.4,92.8,NORMAL,NO
TEL-10082,VEH-CT-103,2026-08-26 05:55:03,-33.88296,151.212485,5.5,41.7,NORMAL,NO
TEL-10083,VEH-CT-102,2026-08-26 06:00:03,-33.877742,151.210486,52.7,61.7,NORMAL,NO
TEL-10084,VEH-CT-100,2026-08-26 06:05:03,-33.877057,151.218668,91.2,22.2,LOW,NO
TEL-10085,VEH-CT-102,2026-08-26 06:10:03,-33.856282,151.191878,3.9,87.5,NORMAL,YES
TEL-10086,VEH-CT-102,2026-08-26 06:15:03,-33.857533,151.201476,29.2,17.3,CRITICAL,YES
TEL-10087,VEH-CT-100,2026-08-26 06:20:03,-33.86622,151.215187,47.7,24.5,LOW,NO
TEL-10088,VEH-CT-101,2026-08-26 06:25:03,-33.879817,151.201491,43.4,28.4,LOW,NO
TEL-10089,VEH-CT-104,2026-08-26 06:30:03,-33.868061,151.190263,6.4,21.8,LOW,NO
TEL-10090,VEH-CT-102,2026-08-26 06:35:03,-33.862395,151.214661,41.4,34.4,LOW,NO
TEL-10091,VEH-CT-101,2026-08-26 06:40:03,-33.879767,151.210582,41.5,84.4,NORMAL,NO
TEL-10092,VEH-CT-102,2026-08-26 06:45:03,-33.858169,151.210618,49.7,96.6,NORMAL,NO
TEL-10093,VEH-CT-104,2026-08-26 06:50:03,-33.861814,151.190148,97.0,91.6,NORMAL,NO
TEL-10094,VEH-CT-104,2026-08-26 06:55:03,-33.85436,151.193349,47.8,20.3,LOW,NO
TEL-10095,VEH-CT-103,2026-08-26 07:00:03,-33.87066,151.218028,66.0,48.5,NORMAL,NO
TEL-10096,VEH-CT-103,2026-08-26 07:05:03,-33.870909,151.198362,79.1,15.0,CRITICAL,NO
TEL-10097,VEH-CT-102,2026-08-26 07:10:03,-33.850772,151.205092,84.1,51.1,NORMAL,NO
TEL-10098,VEH-CT-100,2026-08-26 07:15:03,-33.85949,151.21714,108.2,99.3,NORMAL,NO
TEL-10099,VEH-CT-100,2026-08-26 07:20:03,-33.878195,151.201135,41.3,38.2,LOW,NO
